Bronx Rolling Sales.  All Sales From February 2022 - January 2023,,,,,,,,,,,,,,,,,,, PTS Sales Data as of 02/13/2023 ,
"For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll.         Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data.",,,,,,,,,,,,,,,,,,  ,  ,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3050,78,,V0,N/A BATHGATE AVENUE,,10457,0,0,0,"2,025",0,,1,V0,"224,000",4/28/22
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2B,2898,29,,C1,4031 PARK AVENUE,,10457,10,0,10,"3,670","11,235",1931,2,C1,0,6/10/22
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2,3032,1,,C7,401-405 EAST 187TH STREET,,10458,16,4,20,"3,717","17,869",1910,2,C7,0,11/1/22
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2B,3032,53,,C1,4687 PARK AVENUE,,10458,8,0,8,"4,024","9,600",1910,2,C1,0,8/5/22
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2,3044,47,,C7,505 EAST 178TH STREET,,10457,23,1,24,"4,942","21,450",1928,2,C7,"3,800,000",2/15/22
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2A,3044,52,,C3,1968 BATHGATE AVE,,10457,4,0,4,"1,386","2,550",1931,2,C3,"1,189,850",8/9/22
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2,3048,31,,C7,550 EAST 182ND STREET,,10457,22,2,24,"4,009","18,000",1913,2,C7,"3,375,000",3/23/22
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2B,3052,18,,C7,4533 3 AVENUE,,10458,8,1,9,"2,499","10,000",1900,2,C7,"1,200,000",6/1/22
2,BATHGATE,10 COOPS - ELEVATOR APARTMENTS,2,3035,48,,D4,"463 EAST 178TH STREET, 5B",,10457,,,,,,1935,2,D4,"80,000",12/13/22
2,BATHGATE,10 COOPS - ELEVATOR APARTMENTS,2,3044,40,,D4,"495 EAST 178TH STREET, 4B",,10457,,,,,,1941,2,D4,"115,000",11/14/22
2,BATHGATE,10 COOPS - ELEVATOR APARTMENTS,2,3044,40,,D4,"495 EAST 178TH STREET, 4H",,10457,,,,,,1941,2,D4,"110,000",6/8/22
2,BATHGATE,21 OFFICE BUILDINGS,4,2900,15,,O7,1842-48 WEBSTER AVENUE,,10457,0,1,1,"6,161","12,000",1923,4,O7,0,11/11/22
