Queens Rolling Sales.  All Sales From February 2022 - January 2023,,,,,,,,,,,,,,,,,,, PTS Sales Data as of 02/13/2023 ,
"For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll.         Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data.",,,,,,,,,,,,,,,,,,  ,  ,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16078,48,,A2,318 BEACH 74TH,,11692,1,0,1,"2,485",900,1920,1,A2,"505,000",5/9/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16078,53,,A2,328 BEACH 74TH STREET,,11692,1,0,1,"2,699",880,1920,1,A2,"469,000",9/12/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16081,100,,A1,332 BEACH 70TH STREET,,11692,1,0,1,"2,760","1,554",1920,1,A1,0,11/19/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15826,12,,B2,331 BEACH 36TH ST,,11691,2,0,2,"3,780","2,068",2003,1,B2,0,4/9/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15828,9,,B2,318 BEACH 39TH STREET,,11691,2,0,2,"3,365","2,068",2002,1,B2,"550,000",11/2/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15831,13,,B9,312 BEACH 42 STREET,,11691,2,0,2,"3,066","1,764",1940,1,B9,"683,000",8/9/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15834,47,,B3,347 BEACH 43 STREET,,11691,2,0,2,"5,136","1,760",1920,1,B3,"705,000",9/20/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15838,6,,B2,320 BEACH 47 STREET,,11691,2,0,2,"2,805","2,234",2004,1,B2,"815,000",12/1/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15838,76,,B9,314 BEACH 47TH STREET,,11691,2,0,2,"2,870","1,840",1960,1,B9,"595,000",8/11/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15839,68,,B9,305 BEACH 47TH STREET,,11691,2,0,2,"3,043","1,323",1955,1,B9,"699,000",5/12/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15897,133,,B2,57-19 ARVERNE BOULEVARD,,11692,2,0,2,"2,075","2,000",2003,1,B2,10,2/2/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15902,6,,B1,170 BEACH 60TH,,11692,2,0,2,"3,087","2,052",2000,1,B1,"680,000",5/26/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15903,3,,B1,172 BEACH 61 STREET,,11692,2,0,2,"3,135","2,052",2000,1,B1,"786,000",10/18/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15903,4,,B1,176 BEACH 61 STREET,,11692,2,0,2,"4,169","2,052",2000,1,B1,"800,000",8/31/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15903,37,,B2,165 BEACH 60 STREET,,11692,2,0,2,"3,535","2,400",1960,1,B2,"685,000",9/16/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,15,,B2,64-10 BEACH FRONT ROAD,,11692,2,0,2,"3,541","3,084",2014,1,B2,"1,240,000",9/28/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,35,,B2,6206 OCEAN AVENUE SOUTH,,11692,2,0,2,"6,199","3,357",2014,1,B2,0,12/28/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,58,,B2,158 SEA GRASS LANE,,11692,2,0,2,"3,226","2,515",2014,1,B2,"960,000",7/12/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,138,,B2,6508 OCEAN AVENUE NORTH,,11692,2,0,2,"2,986","2,258",2012,1,B2,0,10/6/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,144,,B2,178 SALTAIRE LANE,,11692,2,0,2,"3,257","2,419",2011,1,B2,"976,000",4/21/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,173,,B2,64-17 OCEAN AVENUE NORTH,,11692,2,0,2,"3,046","2,515",2014,1,B2,0,7/19/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,178,,B2,6405 OCEAN AVENUE NORTH,,11692,2,0,2,"2,120","3,018",2014,1,B2,"1,088,000",6/7/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,196,,B2,6418 OCEAN AVE S,,11692,2,0,2,"3,045","2,515",2014,1,B2,10,3/14/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,237,,B2,66-13 SURF AVENUE,,11692,2,0,2,"2,143","2,908",2011,1,B2,"1,050,000",9/2/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,241,,B2,6603 SURF AVENUE,,11692,2,0,2,"5,861","2,258",2011,1,B2,"999,999",8/8/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,251,,B2,65-18 SEASPRAY AVENUE,,11692,2,0,2,"2,447","2,908",2011,1,B2,0,2/23/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15908,18,,B3,63-03 BEACH CHANNEL DRIVE,,11692,2,0,2,"4,000","1,182",1945,1,B3,"901,000",2/1/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15910,48,,B2,65-09 BEACH CHANNEL DRIVE,,11692,2,0,2,"3,242","2,024",1965,1,B2,"585,000",3/22/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15913,74,,B2,333 BEACH 66 STREET,,11692,2,0,2,"4,000","1,904",1920,1,B2,"555,000",4/13/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15915,43,,B3,350 BEACH 68TH STREET,,11692,2,0,2,"3,999","1,999",1910,1,B3,"490,000",9/1/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15916,43,,B2,352 BEACH 69 STREET,,11692,2,0,2,"5,999","2,926",1910,1,B2,0,12/12/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15916,43,,B2,352 BEACH 69 STREET,,11692,2,0,2,"5,999","2,926",1910,1,B2,"855,000",7/28/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15916,62,,B3,3-31 BEACH 68 STREET,,11692,2,0,2,"3,999","1,656",1910,1,B3,"507,000",9/22/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15932,45,,B1,149 BEACH 60 STREET,,11692,2,0,2,"5,009","1,994",1999,1,B1,"380,000",4/22/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15932,53,,B1,137 BEACH 60 STREET,,11692,2,0,2,"3,267","1,994",1999,1,B1,"476,580",9/19/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15952,4,,B2,408 BEACH 36 STREET,,11691,2,0,2,"4,354","2,068",2003,1,B2,"739,500",9/23/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15960,49,,B2,498 BEACH 43RD STREET,,11691,2,0,2,"2,850","2,200",2002,1,B2,0,3/28/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15960,51,,B2,502 BEACH 43RD STREET,,11691,2,0,2,"2,850","2,200",2002,1,B2,0,3/28/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15965,23,,B3,442 BEACH 44TH STREET,,11691,2,0,2,"3,469","2,164",1899,1,B3,"670,000",1/13/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15965,40,,B2,474 BEACH 44 STREET,,11691,2,0,2,"2,106","2,244",2002,1,B2,"625,000",1/20/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15966,59,,B2,479 BEACH 44 STREET,,11691,2,0,2,"3,411","2,400",2007,1,B2,"795,000",10/3/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15968,65,,B2,493 BEACH 45TH STREET,,11691,2,0,2,"3,118","2,500",2022,1,B2,"920,000",10/25/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15968,67,,B2,491 BEACH 45 STREET,,11691,2,0,2,"3,114","2,500",2022,1,B2,"910,000",10/25/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15972,1,,B9,404 BEACH 48 STREET,,11691,2,0,2,"3,804","1,764",1960,1,B9,"651,900",4/29/22
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15972,20,,B9,450 BEACH 48 STREET,,11691,2,0,2,"9,676","1,869",1960,1,B9,"550,000",8/30/22
